id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
313;4683 - 1998-2010;Caretta caretta;Tortuga Boba;03/10/2004;03/10/2004;2004;Octubre;Otoño;Punta de Teno;NA;456;Punta De Teno;Calle Punta de Teno, 38111, Alisios, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;APN;NA;NA;NA
314;4629 - 1998-2010;Caretta caretta;Tortuga Boba;14/09/2004;14/09/2004;2004;Septiembre;Otoño;Punta Larga;NA;460;Punta Larga;I. E. S. Punta Larga;NA;NA;Indeterminado;Indeterminado;No;NA;NA;NA;NA
321;4550 - 1998-2010;Caretta caretta;Tortuga Boba;10/08/2004;10/08/2004;2004;Agosto;Verano;Valleseco;NA;515;Valleseco;Valleseco, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Dicen que flotaba;NA;NA;NA
324;4515 - 1998-2010;Caretta caretta;Tortuga Boba;30/07/2004;30/07/2004;2004;Julio;Verano;Pto, Colón;NA;401;Pto, Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;No;APN;NA;NA;NA
325;4471 - 1998-2010;Caretta caretta;Tortuga Boba;22/07/2004;22/07/2004;2004;Julio;Verano;Playa Paraiso;NA;368;Playa Paraiso;Urbanización Playa Paraíso, 38678, Adeje, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Indeterminado;Indeterminado;No;En estado de descomposición;NA;NA;NA
326;4470 - 1998-2010;Caretta caretta;Tortuga Boba;22/07/2004;22/07/2004;2004;Julio;Verano;Playa El Apio, Valle Guerra;NA;337;Playa El Apio, Valle Guerra;Valle de Guerra, San Cristóbal de La Laguna, Santa Cruz de Tenerife, Islas Canarias;San Cristóbal de La Laguna;38023;Indeterminado;Indeterminado;No;En estado de descomposición;NA;NA;NA
330;4447 - 1998-2010;Caretta caretta;Tortuga Boba;15/07/2004;15/07/2004;2004;Julio;Verano;Tembel;NA;501;Tembel;Calle Témbel, 38296, Geneto, San Cristóbal de La Laguna, Santa Cruz de Tenerife, Islas Canarias;San Cristóbal de La Laguna;38023;Indeterminado;Indeterminado;No;NA;NA;NA;NA
370;3601 - 1998-2010;Caretta caretta;Tortuga Boba;04/07/2003;04/07/2003;2003;Julio;Verano;Los Abrigos;NA;215;Los Abrigos;Los Abrigos, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;Si;NA;NA;NA;NA
377;3557 - 1998-2010;Caretta caretta;Tortuga Boba;26/06/2003;26/06/2003;2003;Junio;Verano;Puntilla Negra;NA;464;Puntilla Negra;Puntilla, Santa Úrsula, Santa Cruz de Tenerife, Islas Canarias;Santa Úrsula;38039;Indeterminado;Indeterminado;No;Podrida y sin cabeza;NA;Cabeza;Putrefacta
384;3501 - 1998-2010;Caretta caretta;Tortuga Boba;15/06/2003;15/06/2003;2003;Junio;Verano;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Indeterminado;Indeterminado;No;NA;NA;NA;NA
385;3499 - 1998-2010;Caretta caretta;Tortuga Boba;15/06/2003;15/06/2003;2003;Junio;Verano;Dársena Pesquera;NA;88;Darsena Pesquera;Calle Dársena Pesquera, 38120, San Andrés, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;APN;NA;NA;NA
387;3492 - 1998-2010;Caretta caretta;Tortuga Boba;11/06/2003;11/06/2003;2003;Junio;Verano;Las Eras;NA;198;Las Eras;Las Eras, Fasnia, Santa Cruz de Tenerife, Islas Canarias;Fasnia;38012;Indeterminado;Indeterminado;No;En Avanzado estado de descomposición;NA;NA;NA
400;3375 - 1998-2010;Caretta caretta;Tortuga Boba;15/05/2003;15/05/2003;2003;Mayo;Primavera;El Poris;NA;107;El Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;NA;NA;NA;NA
401;3374 - 1998-2010;Caretta caretta;Tortuga Boba;15/05/2003;15/05/2003;2003;Mayo;Primavera;Tabaibal del Poris;NA;489;Tabaibal Del Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;Descompuesta;NA;NA;NA
422;3137 - 1998-2010;Caretta caretta;Tortuga Boba;20/11/2002;20/11/2002;2002;Noviembre;Otoño;Muelle;NA;259;Muelle;Travesía al Muelle, 38509, Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Indeterminado;Indeterminado;No;NA;NA;NA;NA
423;3132 - 1998-2010;Caretta caretta;Tortuga Boba;17/11/2002;17/11/2002;2002;Noviembre;Otoño;Las Maretas;NA;207;Las Maretas;Calle Las Maretas, 38632, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;NA;NA;NA;NA
451;2819 - 1998-2010;Caretta caretta;Tortuga Boba;10/07/2002;10/07/2002;2002;Julio;Verano;Tabaibal de El Poris;NA;488;Tabaibal De El Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;NA;NA;NA;NA
452;2818 - 1998-2010;Caretta caretta;Tortuga Boba;10/07/2002;10/07/2002;2002;Julio;Verano;Tabaibal de El Poris;NA;488;Tabaibal De El Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;NA;NA;NA;NA
457;2764 - 1998-2010;Caretta caretta;Tortuga Boba;24/06/2002;24/06/2002;2002;Junio;Verano;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Indeterminado;Indeterminado;No;APN. Pequeña;NA;NA;NA
465;2645 - 1998-2010;Caretta caretta;Tortuga Boba;18/05/2002;18/05/2002;2002;Mayo;Primavera;Candelaria;NA;53;Candelaria;Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Indeterminado;Indeterminado;No;Descompuesta;NA;NA;NA
469;2553 - 1998-2010;Caretta caretta;Tortuga Boba;14/04/2002;14/04/2002;2002;Abril;Primavera;Pta. Hidalgo (Faro);NA;393;Pta. Hidalgo (faro);Calle Hidalgo, 38180, Maria Jiménez, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Estaba podrida;NA;NA;Putrefacta
477;2434 - 1998-2010;Caretta caretta;Tortuga Boba;22/11/2001;22/11/2001;2001;Noviembre;Otoño;Los Abrigos;NA;215;Los Abrigos;Los Abrigos, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;NA;NA;NA;NA
485;2289 - 1998-2010;Caretta caretta;Tortuga Boba;20/08/2001;20/08/2001;2001;Agosto;Verano;Pto. Colón;NA;402;Pto. Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;No;Aparentemente no tiene nada;NA;NA;NA
532;1956 - 1998-2010;Caretta caretta;Tortuga Boba;16/05/2001;16/05/2001;2001;Mayo;Primavera;Playa de Candelaria;NA;307;Playa De Candelaria;Plaza Candelaria, 38780, Tijarafe, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;En Muy Mal Estado, Descompuesta       L.R. 20 cm;NA;NA;NA
534;1944 - 1998-2010;Caretta caretta;Tortuga Boba;14/05/2001;14/05/2001;2001;Mayo;Primavera;Muelle viejo Los Cristianos;NA;286;Muelle Viejo Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;NA;NA;NA;NA
535;1943 - 1998-2010;Caretta caretta;Tortuga Boba;14/05/2001;14/05/2001;2001;Mayo;Primavera;Parque Marítimo;NA;293;Parque Maritimo;Parque Marítimo;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;NA;NA;NA;NA
536;1920 - 1998-2010;Caretta caretta;Tortuga Boba;04/05/2001;04/05/2001;2001;Mayo;Primavera;Playa del Beril;NA;331;Playa Del Beril;Playa El Beril;Adeje;38001;Indeterminado;Indeterminado;No;Bastante descompuesta;NA;NA;NA
547;1653 - 1998-2010;Caretta caretta;Tortuga Boba;30/09/2000;30/09/2000;2000;Septiembre;Otoño;Playa La Puente,,  El Tablado;NA;352;Playa La Puente,,  El Tablado;Camino El Tablado, 38759, Los Llanos de Aridane, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;Si;Recogida muerta y descompuesta. L.R.:39   L.C.:23  A.R.:29   A.C.:33;NA;NA;Muerta
