nombre;ficha;paraje;LRC;LCC;ARC;ACC;Peso;fecha_ok
Tortuga Boba;5408 - actual;Puerto Colón;17;19;14,5;18;0,878;n
Tortuga Boba;5393 - actual;Los cristianos;18,1;20;16,1;19;1,29;n
Tortuga Boba;5394 - actual;Las Galletas;36,2;40;29,7;36;7;n
Tortuga Boba;5395 - actual;PUERTO COLÓN - ADEJE;29;32;24;30;3,4;n
Tortuga Boba;5404 - actual;Las Chafiras;28,5;31;23;29;3,2;n
Tortuga Boba;5392 - actual;Armeñime;25;28;24;27;2,35;n
Tortuga Boba;5084 - actual;Playa de Fañabé;23;26;19,5;23;2;n
Tortuga Boba;5082 - actual;Puerto Colón;36;39;30;37;5,7;n
Tortuga Boba;5053 - actual;puerto Colón;30,8;26,5;36;31,5;5;d
Tortuga Boba;5045 - actual;Puerto Colón;36,5;40;33;39,8;12,8;d
Tortuga Boba;4999 - actual;Caletillas UNELCO;53,5;55;47,5;56;27,6;d
Tortuga Boba;5033 - actual;Porís;28;32;26;31;4,3;d
Tortuga Boba;4958 - actual;Puerto Colón;45,8;50;40,8;48;12,5;d
Tortuga Boba;4935 - actual;Puerto Colón;44,5;50;44;48;11,6;d
Tortuga Boba;4934 - actual;Puerto Colón;42,2;37,2;44;48;12,9;d
Tortuga Boba;4894 - actual;Playa de las Américas;0;0;0;0;0;d
Tortuga Boba;4814 - actual;Punta Larga;53,5;55;47,5;56;28,5;d
Tortuga Boba;4829 - actual;Fañabé;42;45;36;44;10,9;d
Tortuga Boba;4775 - actual;Playas de Fañabé (2,5 millas N);31,5;37;27;32;4,3;d
Tortuga Boba;4767 - actual;Los Gigantes;25;28;22;28;2,4;d
Tortuga Boba;4755 - actual;Las Eras;33,8;37;31,1;38;7,3;d
Tortuga Boba;4733 - actual;Taganana;37;42;32;40;7,2;d
Tortuga Boba;4720 - actual;Puerto Colón;45;0;0;0;0;d
Tortuga Boba;4729 - actual;Muelle;36,8;40;31;39;6;d
Tortuga Boba;4708 - actual;Los gigantes;30,6;34;25;32;5,5;d
Tortuga Boba;4692 - actual;Puerto Colón;18,5;21;16;21;0,946;d
Tortuga Boba;4674 - actual;Puerto Colón;19,1;22;16,2;20;1,07;d
Tortuga Boba;4664 - actual;Muelle Marina Golf;34,2;37;31,5;39;6,7;d
Tortuga Boba;4658 - actual;las Galletas;37,4;42;33;40,2;6;d
Tortuga Boba;4654 - actual;Los Gigantes;27;31;24,5;30;3,3;d
Tortuga Boba;4650 - actual;Pto. Colón;18,5;20;16,5;20,5;1,104;d
Tortuga Boba;4638 - actual;Bajamar;79;83;65;80;90;d
Tortuga Boba;4628 - actual;Pto. Colón;39;41;34;40;10;d
Tortuga Boba;4490 - actual;La Caleta;19,9;22;18,9;22;1,72;d
Tortuga Boba;4516 - actual;Puerto Colón;18,5;21;16,5;20,5;1,125;d
Tortuga Boba;4519 - actual;Radazul;55;60;48;59;0;d
Tortuga Boba;4548 - actual;Charco de La Araña;21,5;24;19;23,1;1,652;d
Tortuga Boba;4550 - actual;Las Caletillas;24;27;21,5;24,5;2,128;d
Tortuga Boba;4551 - actual;El Pozo;22,1;25;18;23;1,768;d
Tortuga Boba;4914 - 1998-2010;Playa Bocinegro;0;0;0;0;0;e
Tortuga Boba;5118 - 1998-2010;Pto. Colón;58;64;50;63;30;e
Tortuga Boba;5125 - 1998-2010;Los Gigantes;31,5;34;27,5;31;4,7;e
Tortuga Boba;5211 - 1998-2010;Las Américas;28,7;32;25,5;30;3,7;e
Tortuga Boba;5217 - 1998-2010;Punta de Teno;48,5;52;41,5;49,5;16,7;e
Tortuga Boba;5242 - 1998-2010;Pto. Colón;30;34;;32,5;5,5;e
Tortuga Boba;7848 - 1998-2010;Punta Hidalgo;66;73;58;70;47;e
Tortuga Boba;1877 - 1998-2010;El Porís;0;0;0;0;0;e
Tortuga Boba;1904 - 1998-2010;Pto. Colón;46,5;41;51;49,5;0;e
Tortuga Boba;1869 - 1998-2010;Los Gigantes;40;43;35;42;0;e
Tortuga Boba;1860 - 1998-2010;Playa de Almáciga. Taganana;53;57;46;57;15;e
Tortuga Boba;1832 - 1998-2010;Pto. Colón;56;41;0;0;9;e
Tortuga Boba;4602 - actual;el Poris;31,5;34;27;33;3,8;e
Tortuga Boba;4601 - actual;El Poris;20,5;22;18;21;1,3;e
Tortuga Boba;4584 - actual;Fañabé (3 millas);34;37;28;35;5,2;e
Tortuga Boba;4556 - actual;Muelle;37;39;32,5;37;0;e
Tortuga Boba;4489 - actual;Las Galletas;32,5;36,5;28,2;34,2;5,7;e
Tortuga Boba;4485 - actual;Puerto Colón;36,5;40;31,5;39;7,5;e
Tortuga Boba;4456 - actual;Playa San Juan (6 millas);49;53;42,5;52;20;e
Tortuga Boba;4448 - actual;fañabé;24;26;21;25;2,2;e
Tortuga Boba;4446 - actual;Valleseco;35;39;33;38;7,5;e
Tortuga Boba;4389 - actual;tajao;60;0;0;0;0;e
Tortuga Boba;4406 - actual;Puerto Colón;24,5;27;22;25;2,44;e
Tortuga Boba;4433 - actual;El Socorro;20;22;17,5;20;1,18;e
Tortuga Boba;4330 - actual;Puerto Colón;18;21;16,7;19,8;1,2;e
Tortuga Boba;4254 - actual;Puerto Colón;38,8;43;34,1;39;12,6;e
Tortuga Boba;4248 - actual;Puerto Colón;29,5;32;25,7;30;3;e
Tortuga Boba;4242 - actual;Puerto Colón;31,2;34;28,8;32;5;e
Tortuga Boba;4202 - actual;Fañabé;17,5;19;15;18;0,775;e
Tortuga Boba;4197 - actual;Los Gigantes;26;28;21,5;27;2,8;e
Tortuga Boba;4190 - actual;Puerto Colón;41;31;41;43;10,6;e
Tortuga Boba;4136 - actual;Los Gigantes;27,5;30;25;29;3,5;f
Tortuga Boba;4131 - actual;Puerto Colón;25,5;27;22;25;2,7;f
Tortuga Boba;4118 - actual;Los Gigantes (a 2 mill);31;34;26,5;32;4,1;f
Tortuga Boba;4106 - actual;Los Gigantes;42;43;38;43;12,5;f
Tortuga Boba;4083 - actual;Puerto Colón;22,5;24;18,8;22;1,86;f
Tortuga Boba;4023 - actual;El Porís de Abona;24,7;27;23,5;27;2,7;f
Tortuga Boba;4022 - actual;Puerto Colon;58,5;64;51;61;31,5;f
Tortuga Boba;4016 - actual;Playa del Socorro;35,5;39;31;37;6,1;f
Tortuga Boba;4012 - actual;Puerto Colón;35;40;30;39;7,5;f
Tortuga Boba;4004 - actual;Puerto Colón;45,5;50;40;47;14,5;f
Tortuga Boba;3937 - actual;Los Gigantes;42,5;45;35;43;11,5;f
Tortuga Boba;3883 - actual;Los Gigantes;27;29;22,5;28;3;f
Tortuga Boba;3874 - actual;Puerto Colón;30,8;34;26,2;30;4,7;f
Tortuga Boba;3858 - actual;El Porís;29,9;33;25,7;30;4,1;f
Tortuga Boba;3848 - actual;El Porís de Abona;22,8;26;20;24;1,6;f
Tortuga Boba;3847 - actual;Pto. Deportivo San Miguél;28,7;31;24,5;29,5;4,3;f
