id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
18;9287 - 1998-2010;Caretta caretta;Tortuga Boba;27/07/2010;27/07/2010;2010;Julio;Verano;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;APN;NA;NA;NA
19;9268 - 1998-2010;Caretta caretta;Tortuga Boba;25/07/2010;25/07/2010;2010;Julio;Verano;Pto. Colón;NA;402;Pto. Colon;Centro Comercial Puerto Colón;Adeje;38001;Hidrocarburos;Hidrocarburos;No;Totalemnte llena de Crudo;NA;NA;NA
20;9257 - 1998-2010;Caretta caretta;Tortuga Boba;22/07/2010;22/07/2010;2010;Julio;Verano;Abama;NA;7;Abama;Abama, Guía de Isora, Santa Cruz de Tenerife, Islas Canarias;Guía de Isora;38019;Artes de pesca;Artes de pesca;No;con heridas en cuello y aletas por enmallamiento;Varias lesiones;Varias partes;NA
21;9200 - 1998-2010;Caretta caretta;Tortuga Boba;10/07/2010;10/07/2010;2010;Julio;Verano;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Otros;Otros;No;Pequeña herida en el ojo derecho, activa;Herida;Ojos;NA
22;9105 - 1998-2010;Caretta caretta;Tortuga Boba;23/06/2010;23/06/2010;2010;Junio;Verano;Puerto Santiago;NA;450;Puerto Santiago;Puerto de Santiago, Santiago del Teide, Santa Cruz de Tenerife, Islas Canarias;Santiago del Teide;38040;Artes de pesca;Artes de pesca;No;Aleta delantera izquierda, necrosada, enmallada, flotando a la deriva.;Enredadas;Aleta;Necrosada
23;9100 - 1998-2010;Caretta caretta;Tortuga Boba;23/06/2010;23/06/2010;2010;Junio;Verano;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Aleta trasera derecha, putrefácta.;NA;Aleta;Putrefacta
24;9032 - 1998-2010;Caretta caretta;Tortuga Boba;09/06/2010;09/06/2010;2010;Junio;Verano;LOS ROQUES - FASNIA;FASNIA;235;Los Roques - Fasnia;Carretera Los Roques, 38570, Fasnia, Santa Cruz de Tenerife, Islas Canarias;Fasnia;38012;Artes de pesca;Artes de pesca;No;Anzuelo de pesca de altura, arrastraba gran cantidad de plasticos de invernadero;NA;NA;NA
25;8992 - 1998-2010;Caretta caretta;Tortuga Boba;03/06/2010;03/06/2010;2010;Junio;Verano;Pelada;NA;294;Pelada;Tenerife, Santa Cruz de Tenerife, Provincia de Santa Cruz de Tenerife, Canary Islands;Santa Cruz de Tenerife;38038;Debilidad agotamiento;Debilidad agotamiento;Si;Flaca y debilucha, 7,8 kg;NA;NA;NA
26;8862 - 1998-2010;Caretta caretta;Tortuga Boba;09/04/2010;09/04/2010;2010;Abril;Primavera;Pto de Güímar;GÜÍMAR;399;Pto De Guimar;Carretera del Puerto, 38500, Güímar, Santa Cruz de Tenerife, Islas Canarias;Güímar;38020;Debilidad agotamiento;Debilidad agotamiento;Si;Muy Flaca y Débil;NA;NA;NA
27;8850 - 1998-2010;Caretta caretta;Tortuga Boba;03/04/2010;03/04/2010;2010;Abril;Primavera;El Poris;NA;107;El Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;ENMALLADA JUNTO A LA 8851;Enredadas;NA;NA
28;8821 - 1998-2010;Caretta caretta;Tortuga Boba;18/03/2010;18/03/2010;2010;Marzo;Primavera;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;con la parte trasera del caparazón roto, le falta un trozo, con musgo y percebes.;NA;Caparazón;NA
29;8754 - 1998-2010;Caretta caretta;Tortuga Boba;30/01/2010;30/01/2010;2010;Enero;Invierno;Puerto de la Cruz (muelle);NA;440;Puerto De La Cruz (muelle);Puerto de la Cruz, Santa Cruz de Tenerife, Islas Canarias;Puerto de la Cruz;38028;Artes de pesca;Artes de pesca;No;con cortes en las aletas, enmalladas en la misma red, (8754 y 8755);Varias lesiones;Aleta;NA
30;8739 - 1998-2010;Caretta caretta;Tortuga Boba;12/01/2010;12/01/2010;2010;Enero;Invierno;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Artes de pesca;Artes de pesca;Si;Con nylon en las aletas, corte en la aleta delantera derecha y problemas en los ojos, muy bébil.;Varias lesiones;Varias partes;NA
31;8720 - 1998-2010;Caretta caretta;Tortuga Boba;19/12/2009;19/12/2009;2009;Diciembre;Invierno;Punta de Teno;NA;456;Punta De Teno;Calle Punta de Teno, 38111, Alisios, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Podrida.;NA;NA;Putrefacta
