Fecha;Especie;Nombre vulgar;Nº Ficha;Paraje;Causa;Muerte;Mun. recogida;Observaciones;Causa2;id_addr;address2
27/04/2004;Caretta caretta;Tortuga Boba;4199 - 1998-2010;Los Cristianos;Artes de pesca;Si;NA;Aleta izda. Necrosada;Artes de pesca;220;Los Cristianos
20/04/2003;Caretta caretta;Tortuga Boba;4186 - 1998-2010;Los Gigantes;Artes de pesca;No;NA;Aleta delantera derecha y corte en cuello;Artes de pesca;227;Los Gigantes
11/04/2004;Caretta caretta;Tortuga Boba;4160 - 1998-2010;Las Galletas;Artes de pesca;No;NA;Aleta delantera izda.;Artes de pesca;202;Las Galletas
07/04/2004;Caretta caretta;Tortuga Boba;4156 - 1998-2010;Muelle;Artes de pesca;Si;NA;Aleta delantera y trasera derechas y parte dcha caparazón;Artes de pesca;259;Muelle
06/04/2004;Caretta caretta;Tortuga Boba;4155 - 1998-2010;Pelada;Artes de pesca;No;NA;Corte en aleta delantera izquierda;Artes de pesca;294;Pelada
04/04/2004;Caretta caretta;Tortuga Boba;4154 - 1998-2010;Pto. Colón;Enfermedad;No;NA;Cirrepedos y musgo;Enfermedad;402;Pto. Colon
18/11/2003;Caretta caretta;Tortuga Boba;3982 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Le falta la aleta delantera dcha;Artes de pesca;402;Pto. Colon
20/10/2003;Caretta caretta;Tortuga Boba;3941 - 1998-2010;Montaña Roja;Artes de pesca;No;NA;Aleta delantera dcha necrosada, en Taliarte el 13/02/04. Nunca más se supo;Artes de pesca;255;Montaña Roja
19/10/2003;Caretta caretta;Tortuga Boba;3937 - 1998-2010;Las Galletas;Artes de pesca;No;NA;Anzuelo y aleta izda extrangulada;Artes de pesca;202;Las Galletas
14/09/2003;Caretta caretta;Tortuga Boba;3841 - 1998-2010;Radazul;Enfermedad;No;NA;Muchas algas y caparazón blando;Enfermedad;468;Radazul
08/09/2003;Caretta caretta;Tortuga Boba;3820 - 1998-2010;Los Gigantes;Choques;No;NA;Golpe en  Caparazon  con corte profundo en parte posterior;Choques;227;Los Gigantes
30/08/2003;Caretta caretta;Tortuga Boba;3798 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Aleta delantera izda. Muy flaca inmovil con mucho musgo. Sigue en taliarte el 13/02/04. Nunca más se supo;Artes de pesca;402;Pto. Colon
15/08/2003;Caretta caretta;Tortuga Boba;3758 - 1998-2010;Playa Paraiso;Artes de pesca;No;NA;Corte en el cuello pequeño;Artes de pesca;368;Playa Paraiso
15/08/2003;Caretta caretta;Tortuga Boba;3757 - 1998-2010;Los Abrigos;Artes de pesca;No;NA;Aleta delantera izda. Inflamada;Artes de pesca;215;Los Abrigos
12/08/2003;Caretta caretta;Tortuga Boba;3749 - 1998-2010;Muella;Artes de pesca;Si;NA;le faltan las dos aletas delanteras;Artes de pesca;257;Muella
11/08/2003;Caretta caretta;Tortuga Boba;3743 - 1998-2010;Dárcena;Artes de pesca;No;NA;enredada en redes;Artes de pesca;82;Darcena
08/08/2003;Caretta caretta;Tortuga Boba;3739 - 1998-2010;Playa;Artes de pesca;No;NA;Enrollada en una red;Artes de pesca;298;Playa
07/08/2003;Caretta caretta;Tortuga Boba;3729 - 1998-2010;Poris de Abona;Enfermedad;Si;NA;Muy débil y flaco;Enfermedad;390;Poris De Abona
01/08/2003;Caretta caretta;Tortuga Boba;3708 - 1998-2010;Radazul;Choques;No;NA;Golpe en el Caparazón;Choques;468;Radazul
01/08/2003;Caretta caretta;Tortuga Boba;3707 - 1998-2010;Radazul;Artes de pesca;No;NA;Nylon en boca;Artes de pesca;468;Radazul
31/07/2003;Caretta caretta;Tortuga Boba;3706 - 1998-2010;Los Cristianos;Enfermedad;Si;NA;Llena de percebes y cirripedos;Enfermedad;220;Los Cristianos
28/07/2003;Caretta caretta;Tortuga Boba;3690 - 1998-2010;Poris de Abona;Hidrocarburos;No;NA;Llena de piche;Hidrocarburos;390;Poris De Abona
24/07/2003;Caretta caretta;Tortuga Boba;3686 - 1998-2010;Pto. Colón;Otros;No;NA;APN;Otros;402;Pto. Colon
23/07/2003;Caretta caretta;Tortuga Boba;3676 - 1998-2010;Radazul;Artes de pesca;No;NA;aleta delantera derecha necrosada;Artes de pesca;468;Radazul
22/07/2003;Caretta caretta;Tortuga Boba;3667 - 1998-2010;Muelle;Artes de pesca;No;NA;NA;Artes de pesca;259;Muelle
18/07/2003;Caretta caretta;Tortuga Boba;3656 - 1998-2010;Puerto Colón;Enfermedad;No;NA;Percebes;Enfermedad;428;Puerto Colon
16/07/2003;Caretta caretta;Tortuga Boba;3649 - 1998-2010;pto Colón;Otros;No;NA;APN;Otros;396;Pto Colon
12/07/2003;Caretta caretta;Tortuga Boba;3636 - 1998-2010;Puertito de Adeje;Enfermedad;No;NA;Flota;Enfermedad;412;Puertito De Adeje
09/07/2003;Caretta caretta;Tortuga Boba;3622 - 1998-2010;Pto colón;Enfermedad;No;NA;Pequeñita con percebes;Enfermedad;397;Pto Colon
04/07/2003;Caretta caretta;Tortuga Boba;3601 - 1998-2010;Los Abrigos;Indeterminado;Si;NA;NA;Indeterminado;215;Los Abrigos
02/07/2003;Caretta caretta;Tortuga Boba;3590 - 1998-2010;San Juan;Artes de pesca;No;NA;Lado derecho de la cara con heridas, anzuelo, sigue allí 22/09/03;Artes de pesca;480;San Juan
29/06/2003;Caretta caretta;Tortuga Boba;3574 - 1998-2010;Güímar;Choques;No;NA;Corte en el caparazón, sigue allí 22/09/03;Choques;151;Guimar
29/06/2003;Caretta caretta;Tortuga Boba;3573 - 1998-2010;Puerto Colón;Otros;No;NA;Percebes;Otros;428;Puerto Colon
29/06/2003;Caretta caretta;Tortuga Boba;3572 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Aleta trasera dcha fracturada;Artes de pesca;402;Pto. Colon
28/06/2003;Caretta caretta;Tortuga Boba;3570 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;Aleta derecha estrangulada;Artes de pesca;428;Puerto Colon
28/06/2003;Caretta caretta;Tortuga Boba;3569 - 1998-2010;Puerto Colón;Otros;No;NA;Percebes;Otros;428;Puerto Colon
26/06/2003;Caretta caretta;Tortuga Boba;3557 - 1998-2010;Puntilla Negra;Indeterminado;No;NA;Podrida y sin cabeza;Indeterminado;464;Puntilla Negra
26/05/2002;Caretta caretta;Tortuga Boba;3555 - 1998-2010;Darsena Pesquera;Enfermedad;No;NA;Aletas comidas y multiples heridas pequeñas en el cuello, bastante gorda y activa. Se queda en el Centro;Enfermedad;86;Darsena Pesquera
25/06/2003;Caretta caretta;Tortuga Boba;3549 - 1998-2010;Darcena Pesquera;Artes de pesca;No;NA;Aleta trasera izda. Muy inflamada;Artes de pesca;83;Darcena Pesquera
23/06/2003;Caretta caretta;Tortuga Boba;3541 - 1998-2010;Boca Cangrejo;Artes de pesca;No;NA;NA;Artes de pesca;40;Boca Cangrejo
22/06/2003;Caretta caretta;Tortuga Boba;3535 - 1998-2010;Radazul;Artes de pesca;No;NA;Aleta delantera derecha con nylon;Artes de pesca;468;Radazul
18/06/2003;Caretta caretta;Tortuga Boba;3516 - 1998-2010;Pto. Colón;Hidrocarburos;No;NA;Boca y parte delantera con piche;Hidrocarburos;402;Pto. Colon
18/06/2003;Caretta caretta;Tortuga Boba;3515 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;NA;Artes de pesca;428;Puerto Colon
15/06/2003;Caretta caretta;Tortuga Boba;3501 - 1998-2010;Puerto Colón;Indeterminado;No;NA;NA;Indeterminado;428;Puerto Colon
15/06/2003;Caretta caretta;Tortuga Boba;3499 - 1998-2010;Dársena Pesquera;Indeterminado;No;NA;APN;Indeterminado;88;Darsena Pesquera
15/06/2003;Caretta caretta;Tortuga Boba;3498 - 1998-2010;Puertito;Artes de pesca;No;NA;Corte en aleta izquierda. No grave;Artes de pesca;409;Puertito
11/06/2003;Caretta caretta;Tortuga Boba;3492 - 1998-2010;Las Eras;Indeterminado;No;NA;En Avanzado estado de descomposición;Indeterminado;198;Las Eras
09/06/2003;Caretta caretta;Tortuga Boba;3482 - 1998-2010;Pto. Colón;Debilidad agotamiento;No;NA;Cangrejos y musgo;Debilidad agotamiento;402;Pto. Colon
08/06/2003;Caretta caretta;Tortuga Boba;3478 - 1998-2010;Playa La Zamora;Artes de pesca;No;NA;Muerta y totalmente inflada. Se pasó recado a PL para su retirada;Artes de pesca;358;Playa La Zamora
08/06/2003;Caretta caretta;Tortuga Boba;3477 - 1998-2010;Purto Colón;Enfermedad;No;NA;Algas y percebes;Enfermedad;465;Purto Colon
05/06/2003;Caretta caretta;Tortuga Boba;3470 - 1998-2010;Puerto Colon;Artes de pesca;Si;NA;2 huecos en el caparazon;Artes de pesca;423;Puerto Colon
02/06/2003;Caretta caretta;Tortuga Boba;3455 - 1998-2010;Muelle;Enfermedad;No;NA;Lleva flotando tres días;Enfermedad;259;Muelle
01/06/2003;Caretta caretta;Tortuga Boba;3450 - 1998-2010;La Caleta;Artes de pesca;No;NA;Aleta delantera derecha con nylon;Artes de pesca;168;La Caleta
30/05/2003;Caretta caretta;Tortuga Boba;3446 - 1998-2010;Poris de Abona;Artes de pesca;No;NA;Le falta la aleta delantera izquierda;Artes de pesca;390;Poris De Abona
28/05/2003;Caretta caretta;Tortuga Boba;3438 - 1998-2010;Muelle;Enfermedad;No;NA;Flota, muy flaca;Enfermedad;259;Muelle
26/05/2003;Caretta caretta;Tortuga Boba;3428 - 1998-2010;Playa San Juan;Artes de pesca;Si;NA;Anzuelo;Artes de pesca;374;Playa San Juan
25/05/2003;Caretta caretta;Tortuga Boba;3420 - 1998-2010;Playa La Listada;Enfermedad;No;NA;Anzuelo pequeño en una aleta y problema  en los ojos,Caseosos, sigue en Taliarte 13/02/04. Nunca más se supo;Enfermedad;351;Playa La Listada
17/05/2003;Caretta caretta;Tortuga Boba;3381 - 1998-2010;Los Gigantes;Choques;No;NA;Golpe en la cabeza, fractura craneo y maxilar dcho. Sigue Taliarte el 22/09/03;Choques;227;Los Gigantes
16/05/2003;Caretta caretta;Tortuga Boba;3378 - 1998-2010;Muelle Deportivo;Artes de pesca;Si;NA;Aleta delantere Dcha corte;Artes de pesca;271;Muelle Deportivo
15/05/2003;Caretta caretta;Tortuga Boba;3375 - 1998-2010;El Poris;Indeterminado;No;NA;NA;Indeterminado;107;El Poris
15/05/2003;Caretta caretta;Tortuga Boba;3374 - 1998-2010;Tabaibal del Poris;Indeterminado;No;NA;Descompuesta;Indeterminado;489;Tabaibal Del Poris
11/05/2003;Caretta caretta;Tortuga Boba;3366 - 1998-2010;Puertito de Güímar;Enfermedad;No;NA;Llena de algas;Enfermedad;416;Puertito De Guimar
08/05/2003;Caretta caretta;Tortuga Boba;3358 - 1998-2010;El Poris;Artes de pesca;No;NA;Nylon por boca y ano;Artes de pesca;107;El Poris
06/05/2003;Caretta caretta;Tortuga Boba;3352 - 1998-2010;El Poris;Enfermedad;No;NA;Continua en Taliarte el 22/09/03;Enfermedad;107;El Poris
30/04/2003;Caretta caretta;Tortuga Boba;3331 - 1998-2010;Los Abrigos;Artes de pesca;No;NA;Aleta delantera derecha corte profundo;Artes de pesca;215;Los Abrigos
30/04/2003;Caretta caretta;Tortuga Boba;3330 - 1998-2010;Los gigantes;Artes de pesca;No;NA;Anzuelo;Artes de pesca;226;Los Gigantes
29/04/2003;Caretta caretta;Tortuga Boba;3328 - 1998-2010;Pto. Colón;Artes de pesca;Si;NA;Nylon con anzuelo;Artes de pesca;402;Pto. Colon
27/04/2003;Caretta caretta;Tortuga Boba;3325 - 1998-2010;Dársena Pesquera;Artes de pesca;No;NA;Corte aleta delantera izda;Artes de pesca;88;Darsena Pesquera
19/04/2003;Caretta caretta;Tortuga Boba;3311 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Aleta delantera derecha con corte;Artes de pesca;402;Pto. Colon
19/04/2003;Caretta caretta;Tortuga Boba;3310 - 1998-2010;Los Abrigos;Enfermedad;No;NA;2 llagas en aletas traseras;Enfermedad;215;Los Abrigos
19/04/2003;Caretta caretta;Tortuga Boba;3309 - 1998-2010;Los Abrigos;Artes de pesca;No;NA;aleta delantera decha. Amputada y trasera izquierda le falta un trozo.;Artes de pesca;215;Los Abrigos
15/04/2003;Caretta caretta;Tortuga Boba;3300 - 1998-2010;Almáciga;Artes de pesca;No;NA;Aleta derecha y nylon por la cloaca;Artes de pesca;13;Almaciga
11/04/2003;Caretta caretta;Tortuga Boba;3295 - 1998-2010;Las Galletas;Hidrocarburos;No;NA;Llena de piche;Hidrocarburos;202;Las Galletas
10/04/2003;Caretta caretta;Tortuga Boba;3294 - 1998-2010;Alcalá;Artes de pesca;No;NA;Aleta delantera Izda. Necrosada;Artes de pesca;11;Alcala
10/04/2003;Caretta caretta;Tortuga Boba;3293 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;Corte en la aleta izda. Se le amputa un trozo de la aleta;Artes de pesca;428;Puerto Colon
03/04/2003;Caretta caretta;Tortuga Boba;3281 - 1998-2010;Poris de Abona;Otros;Si;NA;Golpe en el caparazón con barrera o punzón,;Otros;390;Poris De Abona
01/04/2003;Caretta caretta;Tortuga Boba;3279 - 1998-2010;Ptito de Güímar;Artes de pesca;Si;NA;le falta aleta delantera dercha y trasera izquierda;Artes de pesca;395;Ptito De Guimar
23/03/2003;Caretta caretta;Tortuga Boba;3260 - 1998-2010;San Andrés;Artes de pesca;No;NA;Fractura y enmallada en la ateta delantera izda.;Artes de pesca;478;San Andres
16/03/2003;Caretta caretta;Tortuga Boba;3246 - 1998-2010;Arafo;Enfermedad;Si;NA;Delgada, muy débil;Enfermedad;27;Arafo
16/03/2003;Caretta caretta;Tortuga Boba;3245 - 1998-2010;Taganana;Artes de pesca;No;NA;Nylon en aleta derecha y cuello y aletas traseras;Artes de pesca;493;Taganana
03/12/2002;Caretta caretta;Tortuga Boba;3145 - 1998-2010;Las Eras;Hidrocarburos;No;NA;Totalmente petroleada;Hidrocarburos;198;Las Eras
20/11/2002;Caretta caretta;Tortuga Boba;3137 - 1998-2010;Muelle;Indeterminado;No;NA;NA;Indeterminado;259;Muelle
17/11/2002;Caretta caretta;Tortuga Boba;3132 - 1998-2010;Las Maretas;Indeterminado;No;NA;NA;Indeterminado;207;Las Maretas
02/11/2002;Caretta caretta;Tortuga Boba;3115 - 1998-2010;El Médano;Artes de pesca;No;NA;NA;Artes de pesca;100;El Medano
26/10/2002;Caretta caretta;Tortuga Boba;3106 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Aleta derecha necrosada y caparazón con gangrena;Artes de pesca;402;Pto. Colon
18/10/2002;Caretta caretta;Tortuga Boba;3097 - 1998-2010;Tejina;Artes de pesca;Si;NA;Daños en las cuatro aletas y la parte delantera de la cabeza.;Artes de pesca;499;Tejina
13/10/2002;Caretta caretta;Tortuga Boba;3087 - 1998-2010;El Médano;Artes de pesca;Si;NA;Aleta delantera derecha podrido;Artes de pesca;100;El Medano
11/10/2002;Caretta caretta;Tortuga Boba;3081 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Corte en el cuello;Artes de pesca;402;Pto. Colon
10/10/2002;Caretta caretta;Tortuga Boba;3080 - 1998-2010;Pta. Hidalgo;Artes de pesca;No;NA;Aleta delantera dcha. Avisar para suelta;Artes de pesca;392;Pta. Hidalgo
30/09/2002;Caretta caretta;Tortuga Boba;3045 - 1998-2010;Marina Tenerife;Artes de pesca;No;NA;Aleta delantera izda necrosada, plástico enrollado;Artes de pesca;247;Marina Tenerife
22/09/2002;Caretta caretta;Tortuga Boba;3024 - 1998-2010;Muelle de Añaza;Artes de pesca;No;NA;Corte en aleta delantera Izda.;Artes de pesca;265;Muelle De Añaza
19/09/2002;Caretta caretta;Tortuga Boba;3019 - 1998-2010;Muelle Los Llanos;Artes de pesca;No;NA;Aleta delantera izda con nylon;Artes de pesca;279;Muelle Los Llanos
12/09/2002;Caretta caretta;Tortuga Boba;3002 - 1998-2010;Pto. Colón;Debilidad agotamiento;No;NA;le falta 1/2 alete trasera izda.;Debilidad agotamiento;402;Pto. Colon
08/09/2002;Caretta caretta;Tortuga Boba;2988 - 1998-2010;Tajao;Choques;No;NA;Golpe en el caparazón probable moto de agua. 28 cm;Choques;497;Tajao
03/09/2002;Caretta caretta;Tortuga Boba;2980 - 1998-2010;Playa de Güímar;Artes de pesca;No;NA;Anzuelo en boca, asoma el nylon por la cloaca;Artes de pesca;311;Playa De Guimar
02/09/2002;Caretta caretta;Tortuga Boba;2978 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Anzuelo clavado en la boca, le falta parte de la aleta  trasera izquierda;Artes de pesca;402;Pto. Colon
24/08/2002;Caretta caretta;Tortuga Boba;2962 - 1998-2010;Parque Eólico;Artes de pesca;Si;NA;Anzuelo en la boba y caparazón por la parte izda. Descamado;Artes de pesca;292;Parque Eolico
24/08/2002;Caretta caretta;Tortuga Boba;2961 - 1998-2010;Parque eólico;Artes de pesca;No;NA;Corte en el caparazón, lado derecho y corte en aleta derecha. Enrollada con otra por un nylon;Artes de pesca;291;Parque Eolico
20/08/2002;Caretta caretta;Tortuga Boba;2951 - 1998-2010;Pto. Colón;Artes de pesca;Si;NA;Anzuelo;Artes de pesca;402;Pto. Colon
20/08/2002;Caretta caretta;Tortuga Boba;2950 - 1998-2010;Poris de Abona;Artes de pesca;No;NA;Aleta delantera izda. Necrosada;Artes de pesca;390;Poris De Abona
19/08/2002;Caretta caretta;Tortuga Boba;2948 - 1998-2010;Pto. Colón;Choques;No;NA;Grieta grande y reciente en el plastrón. Tortuga pequeñita;Choques;402;Pto. Colon
18/08/2002;Caretta caretta;Tortuga Boba;2940 - 1998-2010;Pta. Teno;Enfermedad;Si;NA;Entregada H.V. Tiene percebes, flota y un problema en un ojo, le falta el ojo derecho y tiene una herida en la boca;Enfermedad;394;Pta. Teno
16/08/2002;Caretta caretta;Tortuga Boba;2939 - 1998-2010;La caleta;Artes de pesca;No;NA;Aleta delantera  Izda. Necrosada, con un trozo de red. Amputada;Artes de pesca;167;La Caleta
14/08/2002;Caretta caretta;Tortuga Boba;2935 - 1998-2010;La Tejita;Hidrocarburos;No;NA;Llena de piche;Hidrocarburos;188;La Tejita
12/08/2002;Caretta caretta;Tortuga Boba;2925 - 1998-2010;Boca Cangrejo. Playa Berrugato;Artes de pesca;Si;NA;Nylon por la boca;Artes de pesca;41;Boca Cangrejo. Playa Berrugato
12/08/2002;Caretta caretta;Tortuga Boba;2921 - 1998-2010;El Socorro;Artes de pesca;No;NA;Putrefacta con anzuelo, a punto de reventar, se deja en la playa y se informa a la P.L. De que deben echarle una bolsa de cal.;Artes de pesca;119;El Socorro
06/08/2002;Caretta caretta;Tortuga Boba;2903 - 1998-2010;El Médano;Artes de pesca;No;NA;Rafia en aletas. No se le amputó ninguna;Artes de pesca;100;El Medano
06/08/2002;Caretta caretta;Tortuga Boba;2901 - 1998-2010;La Listada;Otros;Si;NA;Mordida lateral de tiburón, vieja, lleva mucho tiempo flotando. Se le ven las visceras.;Otros;177;La Listada
02/08/2002;Caretta caretta;Tortuga Boba;2893 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;Aleta dcha. Trasera gangrenada;Artes de pesca;428;Puerto Colon
13/07/2002;Caretta caretta;Tortuga Boba;2833 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Marca de rafia en aletas y cuello. Está muy activa, come y se hunde;Artes de pesca;402;Pto. Colon
10/07/2002;Caretta caretta;Tortuga Boba;2819 - 1998-2010;Tabaibal de El Poris;Indeterminado;No;NA;NA;Indeterminado;488;Tabaibal De El Poris
10/07/2002;Caretta caretta;Tortuga Boba;2818 - 1998-2010;Tabaibal de El Poris;Indeterminado;No;NA;NA;Indeterminado;488;Tabaibal De El Poris
08/07/2002;Caretta caretta;Tortuga Boba;2809 - 1998-2010;El Poris;Artes de pesca;No;NA;Cortes en las aletas;Artes de pesca;107;El Poris
05/07/2002;Caretta caretta;Tortuga Boba;2793 - 1998-2010;Punta del Hidalgo;Artes de pesca;No;NA;Ala izquierda putrefacta y nylon en boca. Se le amputó la aleta;Artes de pesca;458;Punta Del Hidalgo
01/07/2002;Caretta caretta;Tortuga Boba;2782 - 1998-2010;Los Gigantes;Artes de pesca;No;NA;Anzuelo;Artes de pesca;227;Los Gigantes
29/06/2002;Caretta caretta;Tortuga Boba;2779 - 1998-2010;Punta de Teno;Debilidad agotamiento;No;NA;APN, liberada por Yayi;Debilidad agotamiento;456;Punta De Teno
24/06/2002;Caretta caretta;Tortuga Boba;2764 - 1998-2010;Puerto Colón;Indeterminado;No;NA;APN. Pequeña;Indeterminado;428;Puerto Colon
21/06/2002;Caretta caretta;Tortuga Boba;2752 - 1998-2010;Poris de Abona;Artes de pesca;No;NA;Anzuelo, Tafira el 10 de Julio;Artes de pesca;390;Poris De Abona
15/06/2002;Caretta caretta;Tortuga Boba;2736 - 1998-2010;La Barranquera;Otros;No;NA;APN, pequeñita;Otros;162;La Barranquera
10/06/2002;Caretta caretta;Tortuga Boba;2712 - 1998-2010;Las Maretas;Artes de pesca;No;NA;Descompuesta. Se avisa a la P.Local para su retirada;Artes de pesca;207;Las Maretas
07/06/2002;Caretta caretta;Tortuga Boba;2704 - 1998-2010;Los Gigantes;Artes de pesca;No;NA;Anzuelo y corte en la aleta delantera derecha;Artes de pesca;227;Los Gigantes
04/06/2002;Caretta caretta;Tortuga Boba;2697 - 1998-2010;Los Cristianos;Artes de pesca;Si;NA;Anzuelo;Artes de pesca;220;Los Cristianos
03/06/2002;Caretta caretta;Tortuga Boba;2695 - 1998-2010;Mal País de Guímar;Artes de pesca;No;NA;En muy mal estado, muy inflada. Nylon grueso por la boca y la cloaca. Largo 66cm;Artes de pesca;241;Mal Pais De Guimar
26/05/2002;Caretta caretta;Tortuga Boba;2665 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;Aleta delantera derecha cortada por rafia, se le ve el hueso. Musgo en la cabeza;Artes de pesca;428;Puerto Colon
18/05/2002;Caretta caretta;Tortuga Boba;2645 - 1998-2010;Candelaria;Indeterminado;No;NA;Descompuesta;Indeterminado;53;Candelaria
18/05/2002;Caretta caretta;Tortuga Boba;2642 - 1998-2010;Los Gigantes;Artes de pesca;No;NA;Anzuelo en esófago;Artes de pesca;227;Los Gigantes
18/05/2002;Caretta caretta;Tortuga Boba;2641 - 1998-2010;Punta de Abona;Hidrocarburos;No;NA;NA;Hidrocarburos;454;Punta De Abona
13/05/2002;Caretta caretta;Tortuga Boba;2618 - 1998-2010;Pto. Colón;Otros;No;NA;APN. Pequeña;Otros;402;Pto. Colon
14/04/2002;Caretta caretta;Tortuga Boba;2553 - 1998-2010;Pta. Hidalgo (Faro);Indeterminado;No;NA;Estaba podrida;Indeterminado;393;Pta. Hidalgo (faro)
10/04/2002;Caretta caretta;Tortuga Boba;2550 - 1998-2010;El Pris;Artes de pesca;No;NA;Traslado a Tafira el 18/4/02. Corte profundo en el cuello y aleta delantera derecha;Artes de pesca;114;El Pris
02/04/2002;Caretta caretta;Tortuga Boba;2542 - 1998-2010;La Barranquera. Tejina;Artes de pesca;No;NA;Le falta la aleta delantera izda. Formación casosa en ojos, corte en el cuello y aleta derecha;Artes de pesca;164;La Barranquera. Tejina
25/03/2002;Caretta caretta;Tortuga Boba;2537 - 1998-2010;Las Chafiras;Artes de pesca;No;NA;Amputación aleta delantera derecha;Artes de pesca;197;Las Chafiras
22/03/2002;Caretta caretta;Tortuga Boba;2533 - 1998-2010;Los Gigantes;Artes de pesca;No;NA;NA;Artes de pesca;227;Los Gigantes
08/01/2002;Caretta caretta;Tortuga Boba;2477 - 1998-2010;Muelle;Artes de pesca;No;NA;Traslado a Tafira el 24/01/02. Tenía un anzuelo, operada por Luis;Artes de pesca;259;Muelle
09/12/2001;Caretta caretta;Tortuga Boba;2453 - 1998-2010;Pto. Colón;Otros;No;NA;NA;Otros;402;Pto. Colon
06/12/2001;Caretta caretta;Tortuga Boba;2449 - 1998-2010;Playa de los Balos;Artes de pesca;No;NA;Anzuelo;Artes de pesca;323;Playa De Los Balos
22/11/2001;Caretta caretta;Tortuga Boba;2434 - 1998-2010;Los Abrigos;Indeterminado;No;NA;NA;Indeterminado;215;Los Abrigos
20/11/2001;Caretta caretta;Tortuga Boba;2430 - 1998-2010;Los Gigantes;Artes de pesca;No;NA;Anzuelo;Artes de pesca;227;Los Gigantes
12/11/2001;Caretta caretta;Tortuga Boba;2425 - 1998-2010;Playa San Juan;Artes de pesca;No;NA;NA;Artes de pesca;374;Playa San Juan
27/10/2001;Caretta caretta;Tortuga Boba;2413 - 1998-2010;Tajao;Artes de pesca;No;NA;Aleta trasera derecha gangrenada. Mordida de tiburón. Traslado a Tafira el 8 de noviembre. El 8 de enero 02 sigue en taliarte;Artes de pesca;497;Tajao
10/10/2001;Caretta caretta;Tortuga Boba;2392 - 1998-2010;El Poris;Enfermedad;Si;NA;NA;Enfermedad;107;El Poris
10/09/2001;Caretta caretta;Tortuga Boba;2333 - 1998-2010;Puerto Colón;Choques;No;NA;Le faltan placas en la cabeza y en el caparazón lateral izdo. Herida profunda en pico y en caparazon posterior;Choques;428;Puerto Colon
08/09/2001;Caretta caretta;Tortuga Boba;2328 - 1998-2010;Puerto Colón;Enfermedad;No;NA;Problema en el ojo derecho;Enfermedad;428;Puerto Colon
07/09/2001;Caretta caretta;Tortuga Boba;2325 - 1998-2010;Los Gigantes;Choques;Si;NA;Encontrada frente al acantilado de Los Gigantes. Traída por Manolo Carrillo. Le falta la aleta delantera izquierda y tiene roto el caparazón.;Choques;227;Los Gigantes
20/08/2001;Caretta caretta;Tortuga Boba;2289 - 1998-2010;Pto. Colón;Indeterminado;No;NA;Aparentemente no tiene nada;Indeterminado;402;Pto. Colon
18/08/2001;Caretta caretta;Tortuga Boba;2282 - 1998-2010;Pto. Colón;Artes de pesca;No;NA;Aleta izquierda gangrenada. Se le amputó, come bien y se hunde;Artes de pesca;402;Pto. Colon
18/08/2001;Caretta caretta;Tortuga Boba;2281 - 1998-2010;Los Gigantes;Hidrocarburos;No;NA;NA;Hidrocarburos;227;Los Gigantes
12/08/2001;Caretta caretta;Tortuga Boba;2271 - 1998-2010;El Socorro;Artes de pesca;No;NA;Aleta amputada, también tuvo prolapso de la cloaca.;Artes de pesca;119;El Socorro
06/08/2001;Caretta caretta;Tortuga Boba;2267 - 1998-2010;Puerto Colón;Enfermedad;No;NA;NA;Enfermedad;428;Puerto Colon
02/08/2001;Caretta caretta;Tortuga Boba;2260 - 1998-2010;Puerto Colón;Hidrocarburos;No;NA;Ademas tiene un problema en el ojo IZQUIERDO;Hidrocarburos;428;Puerto Colon
01/08/2001;Caretta caretta;Tortuga Boba;2255 - 1998-2010;Poris de Abona;Hidrocarburos;No;NA;NA;Hidrocarburos;390;Poris De Abona
01/08/2001;Caretta caretta;Tortuga Boba;2251 - 1998-2010;Playa del Bobo;Hidrocarburos;No;NA;NA;Hidrocarburos;332;Playa Del Bobo
31/07/2001;Caretta caretta;Tortuga Boba;2248 - 1998-2010;Fañabé;Hidrocarburos;No;NA;NA;Hidrocarburos;133;Fañabe
31/07/2001;Caretta caretta;Tortuga Boba;2246 - 1998-2010;Mal País de Güimar;Hidrocarburos;No;NA;NA;Hidrocarburos;242;Mal Pais De Guimar
30/07/2001;Caretta caretta;Tortuga Boba;2240 - 1998-2010;Jover - Tejina;Hidrocarburos;No;NA;NA;Hidrocarburos;158;Jover - Tejina
30/07/2001;Caretta caretta;Tortuga Boba;2235 - 1998-2010;El Poris;Hidrocarburos;No;NA;NA;Hidrocarburos;107;El Poris
30/07/2001;Caretta caretta;Tortuga Boba;2234 - 1998-2010;El Poris;Hidrocarburos;No;NA;NA;Hidrocarburos;107;El Poris
