fecha;especie;nombre;ficha;paraje;LRC;LCC;ARC;ACC;Peso;fecha_ok
25/02/2016;Caretta caretta;Tortuga Boba;4999 - actual;Caletillas UNELCO;53,5;55;47,5;56;27,6;d
12/03/2016;Caretta caretta;Tortuga Boba;5033 - actual;Porís;28;32;26;31;4,3;d
09/02/2016;Caretta caretta;Tortuga Boba;4958 - actual;Puerto Colón;45,8;50;40,8;48;12,5;d
29/01/2016;Caretta caretta;Tortuga Boba;4935 - actual;Puerto Colón;44,5;50;44;48;11,6;d
29/01/2016;Caretta caretta;Tortuga Boba;4934 - actual;Puerto Colón;42,2;37,2;44;48;12,9;d
24/12/2015;Caretta caretta;Tortuga Boba;4894 - actual;Playa de las Américas;0;0;0;0;0;d
26/10/2015;Caretta caretta;Tortuga Boba;4814 - actual;Punta Larga;53,5;55;47,5;56;28,5;d
06/11/2015;Caretta caretta;Tortuga Boba;4829 - actual;Fañabé;42;45;36;44;10,9;d
08/10/2015;Caretta caretta;Tortuga Boba;4775 - actual;Playas de Fañabé (2,5 millas N);31,5;37;27;32;4,3;d
04/10/2015;Caretta caretta;Tortuga Boba;4767 - actual;Los Gigantes;25;28;22;28;2,4;d
30/09/2015;Caretta caretta;Tortuga Boba;4755 - actual;Las Eras;33,8;37;31,1;38;7,3;d
23/09/2015;Caretta caretta;Tortuga Boba;4733 - actual;Taganana;37;42;32;40;7,2;d
20/09/2015;Caretta caretta;Tortuga Boba;4720 - actual;Puerto Colón;45;0;0;0;0;d
